yourlist:M2014110413E2QBPDYQ	Entry	Entry name	Protein names
10139	Q13795	ARFRP_HUMAN	ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)
10139	V9GYH4	V9GYH4_HUMAN	ADP-ribosylation factor-related protein 1
79133	Q5TEU4	NDUF5_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 (Probable methyltransferase C20orf7, mitochondrial) (EC 2.1.1.-)
57761	Q96RU7	TRIB3_HUMAN	Tribbles homolog 3 (TRB-3) (Neuronal cell death-inducible putative kinase) (SINK) (p65-interacting inhibitor of NF-kappa-B)
9770	P50749	RASF2_HUMAN	Ras association domain-containing protein 2
1457	P68400	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)
8760	O95674	CDS2_HUMAN	Phosphatidate cytidylyltransferase 2 (EC 2.7.7.41) (CDP-DAG synthase 2) (CDP-DG synthase 2) (CDP-diacylglycerol synthase 2) (CDS 2) (CDP-diglyceride pyrophosphorylase 2) (CDP-diglyceride synthase 2) (CTP:phosphatidate cytidylyltransferase 2)
81502	Q8TCT9	HM13_HUMAN	Minor histocompatibility antigen H13 (EC 3.4.23.-) (Intramembrane protease 1) (IMP-1) (IMPAS-1) (hIMP1) (Presenilin-like protein 3) (Signal peptide peptidase)
9751	O15079	SNPH_HUMAN	Syntaphilin
10326	H9KV29	H9KV29_HUMAN	Signal-regulatory protein beta-1 isoform 3
10326	O00241	SIRB1_HUMAN	Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b)
10326	Q5TFQ8	SIRBL_HUMAN	Signal-regulatory protein beta-1 isoform 3 (SIRP-beta-1 isoform 3)
10483	B4DJW8	B4DJW8_HUMAN	cDNA FLJ55697, highly similar to Protein transport protein Sec23B
10483	Q15437	SC23B_HUMAN	Protein transport protein Sec23B (SEC23-related protein B)
55612	Q49AC8	Q49AC8_HUMAN	FERMT1 protein
55612	Q54A15	Q54A15_HUMAN	DTGCU2
55612	Q9BQL6	FERM1_HUMAN	Fermitin family homolog 1 (Kindlerin) (Kindlin syndrome protein) (Kindlin-1) (Unc-112-related protein 1)
5332	Q15147	PLCB4_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-4) (Phospholipase C-beta-4) (PLC-beta-4)
10398	P24844	MYL9_HUMAN	Myosin regulatory light polypeptide 9 (20 kDa myosin light chain) (LC20) (MLC-2C) (Myosin RLC) (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9) (Myosin regulatory light chain MRLC1)
3055	A8K4G3	A8K4G3_HUMAN	cDNA FLJ78472, highly similar to Human hemopoietic cell protein-tyrosine kinase (HCK) gene
3055	J3KPD6	J3KPD6_HUMAN	Tyrosine-protein kinase HCK
3055	P08631	HCK_HUMAN	Tyrosine-protein kinase HCK (EC 2.7.10.2) (Hematopoietic cell kinase) (Hemopoietic cell kinase) (p59-HCK/p60-HCK) (p59Hck) (p61Hck)
9777	Q92544	TM9S4_HUMAN	Transmembrane 9 superfamily member 4
51340	Q5JY65	Q5JY65_HUMAN	Crooked neck-like protein 1
51340	Q69YP1	Q69YP1_HUMAN	Putative uncharacterized protein DKFZp762M013 (Fragment)
51340	Q9BZJ0	CRNL1_HUMAN	Crooked neck-like protein 1 (Crooked neck homolog) (hCrn)
23509	Q9H488	OFUT1_HUMAN	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)
25939	Q59H15	Q59H15_HUMAN	SAM domain-and HD domain-containing protein 1 variant (Fragment)
25939	Q9Y3Z3	SAMH1_HUMAN	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1)
9371	O15066	KIF3B_HUMAN	Kinesin-like protein KIF3B (HH0048) (Microtubule plus end-directed kinesin motor 3B) [Cleaved into: Kinesin-like protein KIF3B, N-terminally processed]
140699	Q0P682	Q0P682_HUMAN	C20orf132 protein
140699	Q6PF12	Q6PF12_HUMAN	Chromosome 20 open reading frame 132
140699	Q9H579	MROH8_HUMAN	Protein MROH8 (Maestro heat-like repeat-containing protein family member 8)
10528	O00567	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)
63905	Q9NQG1	MANBL_HUMAN	Protein MANBAL
3420	O43837	IDH3B_HUMAN	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)
22919	Q15691	MARE1_HUMAN	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)
182	P78504	JAG1_HUMAN	Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339)
182	Q99740	Q99740_HUMAN	Soluble protein Jagged (Fragment)
51654	Q53H36	Q53H36_HUMAN	CDK5 regulatory subunit associated protein 1 isoform a variant (Fragment)
51654	Q96SZ6	CK5P1_HUMAN	CDK5 regulatory subunit-associated protein 1 (CDK5 activator-binding protein C42)
6640	Q13424	SNTA1_HUMAN	Alpha-1-syntrophin (59 kDa dystrophin-associated protein A1 acidic component 1) (Pro-TGF-alpha cytoplasmic domain-interacting protein 1) (TACIP1) (Syntrophin-1)
5020	P01178	NEU1_HUMAN	Oxytocin-neurophysin 1 (OT-NPI) [Cleaved into: Oxytocin (Ocytocin); Neurophysin 1]
5020	X5D7M6	X5D7M6_HUMAN	Oxytocin, prepro-(Neurophysin I) (Oxytocin/neurophysin I prepropeptide isoform A) (Fragment)
9675	O43156	TTI1_HUMAN	TELO2-interacting protein 1 homolog (Protein SMG10)
1869	Q01094	E2F1_HUMAN	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)
1869	Q9BSD8	Q9BSD8_HUMAN	Similar to E2F transcription factor 1 (Fragment)
58490	Q9NQG5	RPR1B_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)
11264	Q9Y6I8	PXMP4_HUMAN	Peroxisomal membrane protein 4 (24 kDa peroxisomal intrinsic membrane protein)
128866	Q9H444	CHM4B_HUMAN	Charged multivesicular body protein 4b (Chromatin-modifying protein 4b) (CHMP4b) (SNF7 homolog associated with Alix 1) (SNF7-2) (hSnf7-2) (Vacuolar protein sorting-associated protein 32-2) (Vps32-2) (hVps32-2)
671	P17213	BPI_HUMAN	Bactericidal permeability-increasing protein (BPI) (CAP 57)
1471	P01034	CYTC_HUMAN	Cystatin-C (Cystatin-3) (Gamma-trace) (Neuroendocrine basic polypeptide) (Post-gamma-globulin)
434	P42127	ASIP_HUMAN	Agouti-signaling protein (ASP) (Agouti switch protein)
79913	Q9H9F9	ARP5_HUMAN	Actin-related protein 5 (hARP5) (Sarcoma antigen NY-SAR-16)
10406	Q14508	WFDC2_HUMAN	WAP four-disulfide core domain protein 2 (Epididymal secretory protein E4) (Major epididymis-specific protein E4) (Putative protease inhibitor WAP5)
191	P23526	SAHH_HUMAN	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)
26051	Q96T49	PP16B_HUMAN	Protein phosphatase 1 regulatory inhibitor subunit 16B (Ankyrin repeat domain-containing protein 4) (CAAX box protein TIMAP) (TGF-beta-inhibited membrane-associated protein) (hTIMAP)
60625	Q9H5Z1	DHX35_HUMAN	Probable ATP-dependent RNA helicase DHX35 (EC 3.6.4.13) (DEAH box protein 35)
116092	Q9H147	TDIF1_HUMAN	Deoxynucleotidyltransferase terminal-interacting protein 1 (Terminal deoxynucleotidyltransferase-interacting factor 1) (TdIF1) (TdT-interacting factor 1)
84557	Q9H492	MLP3A_HUMAN	Microtubule-associated proteins 1A/1B light chain 3A (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (MAP1A/MAP1B light chain 3 A) (MAP1A/MAP1B LC3 A) (Microtubule-associated protein 1 light chain 3 alpha)
79953	Q9H7V2	SYNG1_HUMAN	Synapse differentiation-inducing gene protein 1 (SynDIG1) (Dispanin subfamily C member 2) (DSPC2) (Transmembrane protein 90B)
128869	Q9H490	PIGU_HUMAN	Phosphatidylinositol glycan anchor biosynthesis class U protein (Cell division cycle protein 91-like 1) (Protein CDC91-like 1) (GPI transamidase component PIG-U)
10005	O14734	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.27) (Choloyl-coenzyme A thioesterase) (HIV-Nef-associated acyl-CoA thioesterase) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)
57136	Q9HDC9	APMAP_HUMAN	Adipocyte plasma membrane-associated protein (Protein BSCv)
9658	Q2YDX2	Q2YDX2_HUMAN	ZNF516 protein (Fragment)
9658	Q92618	ZN516_HUMAN	Zinc finger protein 516
22850	Q6IQ32	ADNP2_HUMAN	ADNP homeobox protein 2 (Zinc finger protein 508)
79863	Q8N0V3	RBFA_HUMAN	Putative ribosome-binding factor A, mitochondrial
9097	P54578	UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)
9218	Q9P0L0	VAPA_HUMAN	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)
64863	J3KNJ7	J3KNJ7_HUMAN	Methyltransferase-like protein 4
64863	Q8N3J2	METL4_HUMAN	Methyltransferase-like protein 4 (EC 2.1.1.-)
9663	Q92539	LPIN2_HUMAN	Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2)
23347	A6NHR9	SMHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1)
8736	P52179	MYOM1_HUMAN	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)
10627	J3QRS3	J3QRS3_HUMAN	Myosin regulatory light chain 12A (Myosin regulatory light chain MRCL3, isoform CRA_b)
10627	P19105	ML12A_HUMAN	Myosin regulatory light chain 12A (Epididymis secretory protein Li 24) (HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)
79959	B4DP81	B4DP81_HUMAN	Centrosomal protein of 76 kDa (cDNA FLJ61148, moderately similar to Centrosomal protein of 76 kDa)
79959	Q8TAP6	CEP76_HUMAN	Centrosomal protein of 76 kDa (Cep76)
55125	B7ZMF0	B7ZMF0_HUMAN	CEP192 protein
55125	Q9HCK3	Q9HCK3_HUMAN	KIAA1569 protein (Fragment)
8731	O43148	MCES_HUMAN	mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)
4092	B3KYA8	B3KYA8_HUMAN	cDNA FLJ16482 fis, clone BRTHA2017972, highly similar to Mothers against decapentaplegic homolog 7 (SMAD 7)
4092	O15105	SMAD7_HUMAN	Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7) (hSMAD7)
284217	P25391	LAMA1_HUMAN	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)
54941	Q96EQ8	RN125_HUMAN	E3 ubiquitin-protein ligase RNF125 (EC 6.3.2.-) (RING finger protein 125) (T-cell RING activation protein 1) (TRAC-1)
23253	Q6UB98	ANR12_HUMAN	Ankyrin repeat domain-containing protein 12 (Ankyrin repeat-containing cofactor 2) (GAC-1 protein)
11201	Q9UNA4	POLI_HUMAN	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)
57534	Q86YT6	MIB1_HUMAN	E3 ubiquitin-protein ligase MIB1 (EC 6.3.2.-) (DAPK-interacting protein 1) (DIP-1) (Mind bomb homolog 1) (Zinc finger ZZ type with ankyrin repeat domain protein 2)
5932	Q99708	COM1_HUMAN	DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)
8780	B0YJ89	B0YJ89_HUMAN	RIO kinase 3 (Yeast), isoform CRA_a (Serine/threonine-protein kinase RIO3) (cDNA FLJ32730 fis, clone TESTI2001099, highly similar to Serine/threonine-protein kinase RIO3 (EC 2.7.11.1))
8780	O14730	RIOK3_HUMAN	Serine/threonine-protein kinase RIO3 (EC 2.7.11.1) (RIO kinase 3) (sudD homolog)
1478	P33240	CSTF2_HUMAN	Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)
25878	Q9NR99	MXRA5_HUMAN	Matrix-remodeling-associated protein 5 (Adhesion protein with leucine-rich repeats and immunoglobulin domains related to perlecan) (Adlican)
5716	O75832	PSD10_HUMAN	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
115201	Q8WYN0	ATG4A_HUMAN	Cysteine protease ATG4A (EC 3.4.22.-) (AUT-like 2 cysteine endopeptidase) (Autophagin-2) (Autophagy-related cysteine endopeptidase 2) (Autophagy-related protein 4 homolog A) (hAPG4A)
412	P08842	STS_HUMAN	Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase)
6907	O60907	TBL1X_HUMAN	F-box-like/WD repeat-containing protein TBL1X (SMAP55) (Transducin beta-like protein 1X) (Transducin-beta-like protein 1, X-linked)
10857	O00264	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR)
10857	Q6IB11	Q6IB11_HUMAN	PGRMC1 protein (Progesterone receptor membrane component 1) (Progesterone receptor membrane component 1, isoform CRA_a) (cDNA, FLJ94602, Homo sapiens progesterone receptor membrane component 1 (PGRMC1),mRNA)
5422	A6NMQ1	A6NMQ1_HUMAN	DNA polymerase (EC 2.7.7.7)
5422	P09884	DPOLA_HUMAN	DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)
4281	O15344	TRI18_HUMAN	E3 ubiquitin-protein ligase Midline-1 (EC 6.3.2.-) (Midin) (Putative transcription factor XPRF) (RING finger protein 59) (RING finger protein Midline-1) (Tripartite motif-containing protein 18)
79576	Q8N5F7	NKAP_HUMAN	NF-kappa-B-activating protein
55916	Q9NPJ8	NXT2_HUMAN	NTF2-related export protein 2 (Protein p15-2)
79868	Q9NP73	ALG13_HUMAN	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (EC 2.4.1.141) (EC 3.4.19.12) (Asparagine-linked glycosylation 13 homolog) (Glycosyltransferase 28 domain-containing protein 1) (UDP-N-acetylglucosamine transferase subunit ALG13 homolog)
5634	P11908	PRPS2_HUMAN	Ribose-phosphate pyrophosphokinase 2 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase II) (PRS-II)
51311	Q9NR97	TLR8_HUMAN	Toll-like receptor 8 (CD antigen CD288)
56180	Q9UJG1	MSPD1_HUMAN	Motile sperm domain-containing protein 1
9949	Q9Y4X0	AMMR1_HUMAN	AMME syndrome candidate gene 1 protein
91851	Q9BU40	CRDL1_HUMAN	Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin)
64743	Q9H1Z4	WDR13_HUMAN	WD repeat-containing protein 13
6839	O43463	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.43) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)
8406	P78539	SRPX_HUMAN	Sushi repeat-containing protein SRPX
331	B2R9R2	B2R9R2_HUMAN	cDNA, FLJ94517, highly similar to Homo sapiens baculoviral IAP repeat-containing 4 (BIRC4), mRNA
331	P98170	XIAP_HUMAN	E3 ubiquitin-protein ligase XIAP (EC 6.3.2.-) (Baculoviral IAP repeat-containing protein 4) (IAP-like protein) (ILP) (hILP) (Inhibitor of apoptosis protein 3) (IAP-3) (hIAP-3) (hIAP3) (X-linked inhibitor of apoptosis protein) (X-linked IAP)
10735	Q6AI02	Q6AI02_HUMAN	Putative uncharacterized protein DKFZp686P168
10735	Q6MZM3	Q6MZM3_HUMAN	Putative uncharacterized protein DKFZp686C21148
10735	Q6MZP3	Q6MZP3_HUMAN	Putative uncharacterized protein DKFZp686I05169
10735	Q8N3U4	STAG2_HUMAN	Cohesin subunit SA-2 (SCC3 homolog 2) (Stromal antigen 2)
286410	Q8NB49	AT11C_HUMAN	Phospholipid-transporting ATPase IG (EC 3.6.3.1) (ATPase IQ) (ATPase class VI type 11C) (P4-ATPase flippase complex alpha subunit ATP11C)
215	P33897	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP)
28952	O60826	CCD22_HUMAN	Coiled-coil domain-containing protein 22
6855	P08247	SYPH_HUMAN	Synaptophysin (Major synaptic vesicle protein p38)
5355	Q04941	PLP2_HUMAN	Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein)
5358	B4DPW9	B4DPW9_HUMAN	cDNA FLJ51929, highly similar to Plastin-3
5358	P13797	PLST_HUMAN	Plastin-3 (T-plastin)
8260	B7Z9N2	B7Z9N2_HUMAN	ARD1 homolog A, N-acetyltransferase (S. cerevisiae), isoform CRA_a (cDNA, FLJ78896, highly similar to N-terminal acetyltransferase complex ARD1 subunit homolog A (EC 2.3.1.88))
8260	P41227	NAA10_HUMAN	N-alpha-acetyltransferase 10 (EC 2.3.1.-) (EC 2.3.1.88) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (NatA catalytic subunit Naa10)
5973	P51606	RENBP_HUMAN	N-acylglucosamine 2-epimerase (AGE) (EC 5.1.3.8) (GlcNAc 2-epimerase) (N-acetyl-D-glucosamine 2-epimerase) (Renin-binding protein) (RnBP)
2000	Q99607	ELF4_HUMAN	ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor)
6594	B7ZLQ5	B7ZLQ5_HUMAN	SMARCA1 protein (SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1, isoform CRA_d)
6594	P28370	SMCA1_HUMAN	Probable global transcription activator SNF2L1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA1) (Nucleosome-remodeling factor subunit SNF2L) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1)
340554	Q5HYM0	ZC12B_HUMAN	Probable ribonuclease ZC3H12B (EC 3.1.-.-) (MCP-induced protein 2) (Zinc finger CCCH domain-containing protein 12B)
5931	Q16576	RBBP7_HUMAN	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)
5931	Q6FHQ0	Q6FHQ0_HUMAN	RBBP7 protein (Retinoblastoma binding protein 7) (Retinoblastoma binding protein 7, isoform CRA_a) (Fragment)
3750	Q9NSA2	KCND1_HUMAN	Potassium voltage-gated channel subfamily D member 1 (Voltage-gated potassium channel subunit Kv4.1)
389898	Q5JXB2	UE2NL_HUMAN	Putative ubiquitin-conjugating enzyme E2 N-like (Epididymis tissue protein Li 174)
9016	B4DMK1	B4DMK1_HUMAN	cDNA FLJ60702, highly similar to Brain mitochondrial carrier protein 1
9016	O95258	UCP5_HUMAN	Brain mitochondrial carrier protein 1 (BMCP-1) (Mitochondrial uncoupling protein 5) (UCP 5) (Solute carrier family 25 member 14)
2332	G8JLE9	G8JLE9_HUMAN	Fragile X mental retardation protein 1
2332	Q06787	FMR1_HUMAN	Fragile X mental retardation protein 1 (FMRP) (Protein FMR-1)
11040	Q9P1W9	PIM2_HUMAN	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Pim-2h)
10389	Q9UQR0	SCML2_HUMAN	Sex comb on midleg-like protein 2
7355	A6NFI1	A6NFI1_HUMAN	UDP-galactose translocator
7355	A6NKM8	A6NKM8_HUMAN	UDP-galactose translocator
7355	B4DE15	B4DE15_HUMAN	UDP-galactose translocator (cDNA FLJ53300, highly similar to UDP-galactose translocator)
7355	P78381	S35A2_HUMAN	UDP-galactose translocator (Solute carrier family 35 member A2) (UDP-galactose transporter) (UDP-Gal-Tr) (UGT)
10084	O60828	PQBP1_HUMAN	Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1)
27344	Q9UHG2	PCSK1_HUMAN	ProSAAS (Proprotein convertase subtilisin/kexin type 1 inhibitor) (Proprotein convertase 1 inhibitor) (pro-SAAS) [Cleaved into: KEP; Big SAAS (b-SAAS); Little SAAS (l-SAAS) (N-proSAAS); Big PEN-LEN (b-PEN-LEN) (SAAS CT(1-49)); PEN; Little LEN (l-LEN); Big LEN (b-LEN) (SAAS CT(25-40))]
2010	P50402	EMD_HUMAN	Emerin
6901	A6XNE1	A6XNE1_HUMAN	Tafazzin isoform 3
6901	Q16635	TAZ_HUMAN	Tafazzin (Protein G4.5)
5230	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)
5230	V9HWF4	V9HWF4_HUMAN	Phosphoglycerate kinase (EC 2.7.2.3)
84061	Q9H0U3	MAGT1_HUMAN	Magnesium transporter protein 1 (MagT1) (Implantation-associated protein) (IAP)
6611	B4DE40	B4DE40_HUMAN	cDNA FLJ50114, highly similar to Spermine synthase (EC 2.5.1.22)
6611	P52788	SPSY_HUMAN	Spermine synthase (SPMSY) (EC 2.5.1.22) (Spermidine aminopropyltransferase)
5251	B4DNS0	B4DNS0_HUMAN	cDNA FLJ59234, highly similar to Phosphate-regulating neutral endopeptidase (EC 3.4.24.-)
5251	B4DWG8	B4DWG8_HUMAN	cDNA FLJ60923, highly similar to Phosphate-regulating neutral endopeptidase (EC3.4.24.-)
5251	P78562	PHEX_HUMAN	Phosphate-regulating neutral endopeptidase (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (Vitamin D-resistant hypophosphatemic rickets protein) (X-linked hypophosphatemia protein) (HYP)
8266	P11441	UBL4A_HUMAN	Ubiquitin-like protein 4A (Ubiquitin-like protein GDX)
83692	Q8TCZ2	C99L2_HUMAN	CD99 antigen-like protein 2 (MIC2-like protein 1) (CD antigen CD99)
8411	Q15075	EEA1_HUMAN	Early endosome antigen 1 (Endosome-associated protein p162) (Zinc finger FYVE domain-containing protein 2)
6102	O75695	XRP2_HUMAN	Protein XRP2
9767	Q92613	JADE3_HUMAN	Protein Jade-3 (Jade family PHD finger protein 3) (PHD finger protein 16)
5127	Q00536	CDK16_HUMAN	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)
5127	Q9BRL4	Q9BRL4_HUMAN	PCTK1 protein
8237	B4DGK3	B4DGK3_HUMAN	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12)
8237	P51784	UBP11_HUMAN	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)
9468	Q9Y5K3	PCY1B_HUMAN	Choline-phosphate cytidylyltransferase B (EC 2.7.7.15) (CCT-beta) (CTP:phosphocholine cytidylyltransferase B) (CCT B) (CT B) (Phosphorylcholine transferase B)
27336	O43719	HTSF1_HUMAN	HIV Tat-specific factor 1 (Tat-SF1)
7076	B4DJK3	B4DJK3_HUMAN	cDNA FLJ60276, weakly similar to Metalloproteinase inhibitor 1
7076	P01033	TIMP1_HUMAN	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)
7076	Q6FGX5	Q6FGX5_HUMAN	TIMP metallopeptidase inhibitor 1, isoform CRA_a (TIMP1 protein) (cDNA, FLJ92204, Homo sapiens tissue inhibitor of metalloproteinase 1 (erythroidpotentiating activity, collagenase inhibitor) (TIMP1), mRNA)
2245	P98174	FGD1_HUMAN	FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)
5303	Q9Y237	PIN4_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (hPar14) (Parvulin-17) (Par17) (hPar17) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Peptidyl-prolyl cis/trans isomerase EPVH) (hEPVH) (Rotamase Pin4)
64840	Q9H237	PORCN_HUMAN	Protein-cysteine N-palmitoyltransferase porcupine (EC 2.3.1.-) (Protein MG61)
347365	Q6UXX5	ITIH6_HUMAN	Inter-alpha-trypsin inhibitor heavy chain H6 (Inter-alpha-trypsin inhibitor heavy chain H5-like protein) (Inter-alpha inhibitor H5-like protein)
10916	Q9UNF1	MAGD2_HUMAN	Melanoma-associated antigen D2 (11B6) (Breast cancer-associated gene 1 protein) (BCG-1) (Hepatocellular carcinoma-associated protein JCL-1) (MAGE-D2 antigen)
5935	P98179	RBM3_HUMAN	Putative RNA-binding protein 3 (RNA-binding motif protein 3) (RNPL)
11279	O95600	KLF8_HUMAN	Krueppel-like factor 8 (Basic krueppel-like factor 3) (Zinc finger protein 741)
11279	Q05BZ3	Q05BZ3_HUMAN	KLF8 protein (Krueppel-like factor 8) (Kruppel-like factor 8, isoform CRA_b)
27286	O60687	SRPX2_HUMAN	Sushi repeat-containing protein SRPX2 (Sushi-repeat protein upregulated in leukemia)
94121	A8K973	A8K973_HUMAN	cDNA FLJ77998, highly similar to Homo sapiens synaptotagmin-like 4 (granuphilin-a), mRNA
94121	B2R7R4	B2R7R4_HUMAN	cDNA, FLJ93569, highly similar to Homo sapiens synaptotagmin-like 4 (granuphilin-a) (SYTL4), mRNA
94121	Q71SF7	Q71SF7_HUMAN	Endocrine transmitter regulatory protein
94121	Q96C24	SYTL4_HUMAN	Synaptotagmin-like protein 4 (Exophilin-2) (Granuphilin)
158866	B3KY34	B3KY34_HUMAN	Palmitoyltransferase (EC 2.3.1.225)
158866	Q96MV8	ZDH15_HUMAN	Palmitoyltransferase ZDHHC15 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 15) (DHHC-15)
51260	Q9BVG4	PBDC1_HUMAN	Protein PBDC1 (Polysaccharide biosynthesis domain-containing protein 1)
